Packet_Nbre,Cycle,HPM0,HPM2,HPM3,HPM4,HPM5,HPM6,HPM7,HPM8,HPM9,HPM10,HPM11
legitime,96.0,96.0,13.0,0.0,0.0,52.0,1.0,1.0,1.0,1.0,0.0,6.0
legitime,45361.0,45361.0,14342.0,472.0,68.0,14840.0,2389.0,2046.0,1403.0,2195.0,1135.0,9760.0
legitime,41582.0,41582.0,13526.0,451.0,60.0,12947.0,2253.0,1918.0,1347.0,2055.0,1079.0,9268.0
legitime,48770.0,48770.0,15974.0,511.0,84.0,15239.0,2661.0,2302.0,1515.0,2475.0,1247.0,10744.0
legitime,42780.0,42780.0,13934.0,461.0,64.0,13329.0,2321.0,1982.0,1375.0,2125.0,1107.0,9514.0
legitime,47572.0,47572.0,15566.0,501.0,80.0,14857.0,2593.0,2238.0,1487.0,2405.0,1219.0,10498.0
legitime,48188.0,48188.0,15770.0,506.0,82.0,15048.0,2627.0,2270.0,1501.0,2440.0,1233.0,10621.0
legitime,42780.0,42780.0,13934.0,461.0,64.0,13329.0,2321.0,1982.0,1375.0,2125.0,1107.0,9514.0
legitime,49369.0,49369.0,16178.0,516.0,86.0,15430.0,2695.0,2334.0,1529.0,2510.0,1261.0,10867.0
legitime,46973.0,46973.0,15362.0,496.0,78.0,14666.0,2559.0,2206.0,1473.0,2370.0,1205.0,10375.0
legitime,50901.0,50901.0,16736.0,524.0,88.0,15930.0,2753.0,2387.0,1558.0,2605.0,1305.0,11143.0
legitime,42482.0,42482.0,13880.0,454.0,60.0,13256.0,2277.0,1939.0,1362.0,2115.0,1109.0,9421.0
legitime,50269.0,50269.0,16532.0,519.0,86.0,15739.0,2719.0,2355.0,1544.0,2570.0,1291.0,11020.0
legitime,46692.0,46692.0,15308.0,489.0,74.0,14593.0,2515.0,2163.0,1460.0,2360.0,1207.0,10282.0
legitime,51467.0,51467.0,16940.0,529.0,90.0,16121.0,2787.0,2419.0,1572.0,2640.0,1319.0,11266.0
legitime,41284.0,41284.0,13472.0,444.0,56.0,12874.0,2209.0,1875.0,1334.0,2045.0,1081.0,9175.0
legitime,43081.0,43081.0,14084.0,459.0,62.0,13447.0,2311.0,1971.0,1376.0,2150.0,1123.0,9544.0
legitime,47873.0,47873.0,15716.0,499.0,78.0,14975.0,2583.0,2227.0,1488.0,2430.0,1235.0,10528.0
legitime,43081.0,43081.0,14084.0,459.0,62.0,13447.0,2311.0,1971.0,1376.0,2150.0,1123.0,9544.0
