Packet_Nbre,Cycle,Cycles,Minstret,JMP_STALL,IMISS,LD,ST,JUMP,BRANCH,BRANCH_TAKEN,COMP_INSTR,PIP_STALL
1,40734,40734,12483,240,46,13054,2053,1773,1274,1865,1024,8659
1,39357,39357,12637,242,48,11628,2082,1797,1281,1893,1037,8754
1,36163,36163,11577,222,38,10613,1907,1627,1211,1713,962,8114
1,37420,37420,12001,230,42,11005,1977,1695,1239,1785,992,8370
1,41840,41840,13485,258,56,12377,2222,1933,1337,2037,1097,9266
1,38678,38678,12425,238,46,11397,2047,1763,1267,1857,1022,8626
1,39324,39324,12637,242,48,11593,2082,1797,1281,1893,1037,8754
1,38049,38049,12213,234,44,11201,2012,1729,1253,1821,1007,8498
1,38678,38678,12425,238,46,11397,2047,1763,1267,1857,1022,8626
1,41492,41492,13415,250,52,12285,2176,1886,1324,2025,1097,9163
1,38323,38323,12355,230,42,11305,2001,1716,1254,1845,1022,8523
1,39581,39581,12779,238,46,11697,2071,1784,1282,1917,1052,8779
1,38340,38340,12355,230,42,11305,2001,1716,1254,1845,1022,8523
1,36436,36436,11719,218,36,10717,1896,1614,1212,1737,977,8139
1,42726,42726,13839,258,56,12677,2246,1954,1352,2097,1127,9419
1,42114,42114,13627,254,54,12481,2211,1920,1338,2061,1112,9291
1,40839,40839,13203,246,50,12089,2141,1852,1310,1989,1082,9035
1,40856,40856,13203,246,50,12089,2141,1852,1310,1989,1082,9035
1,42097,42097,13627,254,54,12481,2211,1920,1338,2061,1112,9291
1,40856,40856,13203,246,50,12089,2141,1852,1310,1989,1082,9035
1,37694,37694,12143,226,40,11109,1966,1682,1240,1809,1007,8395
1,37065,37065,11931,222,38,10913,1931,1648,1226,1773,992,8267
1,38323,38323,12355,230,42,11305,2001,1716,1254,1845,1022,8523
1,38323,38323,12355,230,42,11305,2001,1716,1254,1845,1022,8523
1,40856,40856,13203,246,50,12089,2141,1852,1310,1989,1082,9035
1,38952,38952,12567,234,44,11501,2036,1750,1268,1881,1037,8651
1,41468,41468,13415,250,52,12285,2176,1886,1324,2025,1097,9163
1,42743,42743,13839,258,56,12677,2246,1954,1352,2097,1127,9419
1,38323,38323,12355,230,42,11305,2001,1716,1254,1845,1022,8523
1,40856,40856,13203,246,50,12089,2141,1852,1310,1989,1082,9035
1,38323,38323,12355,230,42,11305,2001,1716,1254,1845,1022,8523
1,38323,38323,12355,230,42,11305,2001,1716,1254,1845,1022,8523
1,36436,36436,11719,218,36,10717,1896,1614,1212,1737,977,8139
1,36436,36436,11719,218,36,10717,1896,1614,1212,1737,977,8139
1,38952,38952,12567,234,44,11501,2036,1750,1268,1881,1037,8651
1,37065,37065,11931,222,38,10913,1931,1648,1226,1773,992,8267
1,42743,42743,13839,258,56,12677,2246,1954,1352,2097,1127,9419
1,39581,39581,12779,238,46,11697,2071,1784,1282,1917,1052,8779
1,40856,40856,13203,246,50,12089,2141,1852,1310,1989,1082,9035
1,36436,36436,11719,218,36,10717,1896,1614,1212,1737,977,8139
1,40839,40839,13203,246,50,12089,2141,1852,1310,1989,1082,9035
1,38952,38952,12567,234,44,11501,2036,1750,1268,1881,1037,8651
1,39598,39598,12779,238,46,11697,2071,1784,1282,1917,1052,8779
1,38952,38952,12567,234,44,11501,2036,1750,1268,1881,1037,8651
1,40839,40839,13203,246,50,12089,2141,1852,1310,1989,1082,9035
1,42743,42743,13839,258,56,12677,2246,1954,1352,2097,1127,9419
1,38952,38952,12567,234,44,11501,2036,1750,1268,1881,1037,8651
1,38323,38323,12355,230,42,11305,2001,1716,1254,1845,1022,8523
1,37711,37711,12143,226,40,11109,1966,1682,1240,1809,1007,8395
1,40210,40210,12991,242,48,11893,2106,1818,1296,1953,1067,8907
1,37065,37065,11931,222,38,10913,1931,1648,1226,1773,992,8267
1,42114,42114,13627,254,54,12481,2211,1920,1338,2061,1112,9291
1,40839,40839,13203,246,50,12089,2141,1852,1310,1989,1082,9035
1,40839,40839,13203,246,50,12089,2141,1852,1310,1989,1082,9035
1,40856,40856,13203,246,50,12089,2141,1852,1310,1989,1082,9035
1,41468,41468,13415,250,52,12285,2176,1886,1324,2025,1097,9163
1,38969,38969,12567,234,44,11501,2036,1750,1268,1881,1037,8651
1,36436,36436,11719,218,36,10717,1896,1614,1212,1737,977,8139
1,37694,37694,12143,226,40,11109,1966,1682,1240,1809,1007,8395
1,37694,37694,12143,226,40,11109,1966,1682,1240,1809,1007,8395
1,40210,40210,12991,242,48,11893,2106,1818,1296,1953,1067,8907
1,40227,40227,12991,242,48,11893,2106,1818,1296,1953,1067,8907
1,36436,36436,11719,218,36,10717,1896,1614,1212,1737,977,8139
1,40210,40210,12991,242,48,11893,2106,1818,1296,1953,1067,8907
1,42114,42114,13627,254,54,12481,2211,1920,1338,2061,1112,9291
1,37065,37065,11931,222,38,10913,1931,1648,1226,1773,992,8267
1,37065,37065,11931,222,38,10913,1931,1648,1226,1773,992,8267
1,37065,37065,11931,222,38,10913,1931,1648,1226,1773,992,8267
1,37065,37065,11931,222,38,10913,1931,1648,1226,1773,992,8267
1,42726,42726,13839,258,56,12677,2246,1954,1352,2097,1127,9419
1,40856,40856,13203,246,50,12089,2141,1852,1310,1989,1082,9035
1,38323,38323,12355,230,42,11305,2001,1716,1254,1845,1022,8523
1,40839,40839,13203,246,50,12089,2141,1852,1310,1989,1082,9035
1,42114,42114,13627,254,54,12481,2211,1920,1338,2061,1112,9291
1,42114,42114,13627,254,54,12481,2211,1920,1338,2061,1112,9291
1,38952,38952,12567,234,44,11501,2036,1750,1268,1881,1037,8651
1,42097,42097,13627,254,54,12481,2211,1920,1338,2061,1112,9291
1,42114,42114,13627,254,54,12481,2211,1920,1338,2061,1112,9291
1,36436,36436,11719,218,36,10717,1896,1614,1212,1737,977,8139
1,37694,37694,12143,226,40,11109,1966,1682,1240,1809,1007,8395
1,42114,42114,13627,254,54,12481,2211,1920,1338,2061,1112,9291
1,41468,41468,13415,250,52,12285,2176,1886,1324,2025,1097,9163
