Cycles,Minstret,LD_STALL,JMP_STALL,IMISS,LD,ST,JUMP,BRANCH,BRANCH_TAKEN,COMP_INSTR,PIP_STALL,Packet_Nbre
2159,430,19,0,989,50,71,35,84,56,56,0,1
1368,336,16,0,449,41,58,25,70,51,46,0,1
1412,360,19,0,413,44,61,28,76,54,55,0,1
1700,438,25,0,491,56,73,34,94,66,73,0,1
1714,438,25,0,491,56,73,34,94,66,73,0,1
1700,438,25,0,491,56,73,34,94,66,73,0,1
1439,366,16,0,419,47,64,25,76,57,46,0,1
1502,382,18,0,435,49,66,27,80,59,52,0,1
1468,374,17,0,427,48,65,26,78,58,49,0,1
1671,430,24,0,483,55,72,33,92,65,70,0,1
1613,414,22,0,467,53,70,31,88,63,64,0,1
1659,422,23,0,475,54,71,32,90,64,67,0,1
1480,382,18,0,435,49,66,27,80,59,52,0,1
1642,422,23,0,475,54,71,32,90,64,67,0,1
1688,430,24,0,483,55,72,33,92,65,70,0,1
1642,422,23,0,475,54,71,32,90,64,67,0,1
1688,430,24,0,483,55,72,33,92,65,70,0,1
1751,451,26,0,504,58,75,35,97,68,76,0,1
1623,411,21,0,464,53,70,30,87,63,61,0,1
1606,411,21,0,464,53,70,30,87,63,61,0,1
1707,435,24,0,488,56,73,33,93,66,70,0,1
1751,451,26,0,504,58,75,35,97,68,76,0,1
1461,371,16,0,424,48,65,25,77,58,46,0,1
1606,411,21,0,464,53,70,30,87,63,61,0,1
1618,419,22,0,472,54,71,31,89,64,64,0,1
1473,379,17,0,432,49,66,26,79,59,49,0,1
1560,403,20,0,456,52,69,29,85,62,58,0,1
1676,435,24,0,488,56,73,33,93,66,70,0,1
1560,403,20,0,456,52,69,29,85,62,58,0,1
1444,371,16,0,424,48,65,25,77,58,46,0,1
1647,427,23,0,480,55,72,32,91,65,67,0,1
1647,427,23,0,480,55,72,32,91,65,67,0,1
1676,435,24,0,488,56,73,33,93,66,70,0,1
1734,451,26,0,504,58,75,35,97,68,76,0,1
1647,427,23,0,480,55,72,32,91,65,67,0,1
1560,403,20,0,456,52,69,29,85,62,58,0,1
1502,387,18,0,440,50,67,27,81,60,52,0,1
1647,427,23,0,480,55,72,32,91,65,67,0,1
1618,419,22,0,472,54,71,31,89,64,64,0,1
1589,411,21,0,464,53,70,30,87,63,61,0,1
1618,419,22,0,472,54,71,31,89,64,64,0,1
1502,387,18,0,440,50,67,27,81,60,52,0,1
1705,443,25,0,496,57,74,34,95,67,73,0,1
1705,443,25,0,496,57,74,34,95,67,73,0,1
1502,387,18,0,440,50,67,27,81,60,52,0,1
1647,427,23,0,480,55,72,32,91,65,67,0,1
1676,435,24,0,488,56,73,33,93,66,70,0,1
1589,411,21,0,464,53,70,30,87,63,61,0,1
1618,419,22,0,472,54,71,31,89,64,64,0,1
1647,427,23,0,480,55,72,32,91,65,67,0,1
1734,451,26,0,504,58,75,35,97,68,76,0,1
1560,403,20,0,456,52,69,29,85,62,58,0,1
1473,379,17,0,432,49,66,26,79,59,49,0,1
1734,451,26,0,504,58,75,35,97,68,76,0,1
1589,411,21,0,464,53,70,30,87,63,61,0,1
1473,379,17,0,432,49,66,26,79,59,49,0,1
1531,395,19,0,448,51,68,28,83,61,55,0,1
1647,427,23,0,480,55,72,32,91,65,67,0,1
1502,387,18,0,440,50,67,27,81,60,52,0,1
1618,419,22,0,472,54,71,31,89,64,64,0,1
1531,395,19,0,448,51,68,28,83,61,55,0,1
1560,403,20,0,456,52,69,29,85,62,58,0,1
1520,387,18,0,440,50,67,27,81,60,52,0,1
1531,395,19,0,448,51,68,28,83,61,55,0,1
1693,435,24,0,488,56,73,33,93,66,70,0,1
1589,411,21,0,464,53,70,30,87,63,61,0,1
1548,395,19,0,448,51,68,28,83,61,55,0,1
1722,443,25,0,496,57,74,34,95,67,73,0,1
1705,443,25,0,496,57,74,34,95,67,73,0,1
1589,411,21,0,464,53,70,30,87,63,61,0,1
1560,403,20,0,456,52,69,29,85,62,58,0,1
1589,411,21,0,464,53,70,30,87,63,61,0,1
1473,379,17,0,432,49,66,26,79,59,49,0,1
1734,451,26,0,504,58,75,35,97,68,76,0,1
1705,443,25,0,496,57,74,34,95,67,73,0,1
1502,387,18,0,440,50,67,27,81,60,52,0,1
1618,419,22,0,472,54,71,31,89,64,64,0,1
1560,403,20,0,456,52,69,29,85,62,58,0,1
1676,435,24,0,488,56,73,33,93,66,70,0,1
1734,451,26,0,504,58,75,35,97,68,76,0,1
1647,427,23,0,480,55,72,32,91,65,67,0,1
1618,419,22,0,472,54,71,31,89,64,64,0,1
1531,395,19,0,448,51,68,28,83,61,55,0,1
1560,403,20,0,456,52,69,29,85,62,58,0,1
1531,395,19,0,448,51,68,28,83,61,55,0,1
1502,387,18,0,440,50,67,27,81,60,52,0,1
1618,419,22,0,472,54,71,31,89,64,64,0,1
1734,451,26,0,504,58,75,35,97,68,76,0,1
1618,419,22,0,472,54,71,31,89,64,64,0,1
1589,411,21,0,464,53,70,30,87,63,61,0,1
1734,451,26,0,504,58,75,35,97,68,76,0,1
1560,403,20,0,456,52,69,29,85,62,58,0,1
1647,427,23,0,480,55,72,32,91,65,67,0,1
1531,395,19,0,448,51,68,28,83,61,55,0,1
1635,419,22,0,472,54,71,31,89,64,64,0,1
1664,427,23,0,480,55,72,32,91,65,67,0,1
1548,395,19,0,448,51,68,28,83,61,55,0,1
1591,403,20,0,456,52,69,29,85,62,58,0,1
1577,403,20,0,456,52,69,29,85,62,58,0,1
1548,395,19,0,448,51,68,28,83,61,55,0,1
1598,403,20,0,456,52,69,29,85,62,58,0,1
1694,427,23,0,480,55,72,32,91,65,67,0,1
1509,379,17,0,432,49,66,26,79,59,49,0,1
1538,387,18,0,440,50,67,27,81,60,52,0,1
1509,379,17,0,432,49,66,26,79,59,49,0,1
1683,427,23,0,480,55,72,32,91,65,67,0,1
1940,435,24,0,602,56,73,33,93,66,70,0,1
2141,387,17,0,755,50,67,27,81,60,52,0,1
2577,451,25,0,931,58,75,35,97,68,76,0,1
1581,395,19,0,481,51,68,28,83,61,55,0,1
1461,371,16,0,424,48,65,25,77,58,46,0,1
1461,371,16,0,424,48,65,25,77,58,46,0,1
1606,411,21,0,464,53,70,30,87,63,61,0,1
1652,419,22,0,472,54,71,31,89,64,64,0,1
1577,403,20,0,456,52,69,29,85,62,58,0,1
1519,387,18,0,440,50,67,27,81,60,52,0,1
1632,419,22,0,472,54,71,31,89,64,64,0,1
1487,379,17,0,432,49,66,26,79,59,49,0,1
2553,443,25,0,914,57,74,34,95,67,73,0,1
1892,427,23,0,611,55,72,32,91,65,67,0,1
1490,379,17,0,449,49,66,26,79,59,49,0,1
1473,379,17,0,432,49,66,26,79,59,49,0,1
1519,387,18,0,440,50,67,27,81,60,52,0,1
1461,371,16,0,424,48,65,25,77,58,46,0,1
1693,435,24,0,488,56,73,33,93,66,70,0,1
1519,387,18,0,440,50,67,27,81,60,52,0,1
1577,403,20,0,456,52,69,29,85,62,58,0,1
1606,411,21,0,464,53,70,30,87,63,61,0,1
1722,443,25,0,496,57,74,34,95,67,73,0,1
1635,419,22,0,472,54,71,31,89,64,64,0,1
1647,427,23,0,480,55,72,32,91,65,67,0,1
1607,411,21,0,464,53,70,30,87,63,61,0,1
1561,395,19,0,448,51,68,28,83,61,55,0,1
1461,371,16,0,424,48,65,25,77,58,46,0,1
1548,395,19,0,448,51,68,28,83,61,55,0,1
1693,435,24,0,488,56,73,33,93,66,70,0,1
1681,427,23,0,480,55,72,32,91,65,67,0,1
1722,443,25,0,496,57,74,34,95,67,73,0,1
1739,443,25,0,496,57,74,34,95,67,73,0,1
1577,403,20,0,456,52,69,29,85,62,58,0,1
1461,371,16,0,424,48,65,25,77,58,46,0,1
1577,403,20,0,456,52,69,29,85,62,58,0,1
1461,371,16,0,424,48,65,25,77,58,46,0,1
1623,411,21,0,464,53,70,30,87,63,61,0,1
1461,371,16,0,424,48,65,25,77,58,46,0,1
1693,435,24,0,488,56,73,33,93,66,70,0,1
1652,419,22,0,472,54,71,31,89,64,64,0,1
1751,451,26,0,504,58,75,35,97,68,76,0,1
1681,427,23,0,480,55,72,32,91,65,67,0,1
1606,411,21,0,464,53,70,30,87,63,61,0,1
1739,443,25,0,496,57,74,34,95,67,73,0,1
1577,403,20,0,456,52,69,29,85,62,58,0,1
1548,395,19,0,448,51,68,28,83,61,55,0,1
1632,419,22,0,472,54,71,31,89,64,64,0,1
1682,427,23,0,480,55,72,32,91,65,67,0,1
1516,387,18,0,440,50,67,27,81,60,52,0,1
1640,419,22,0,472,54,71,31,89,64,64,0,1
1620,411,21,0,464,53,70,30,87,63,61,0,1
1461,371,16,0,424,48,65,25,77,58,46,0,1
1461,371,16,0,424,48,65,25,77,58,46,0,1
1548,395,19,0,448,51,68,28,83,61,55,0,1
1531,395,19,0,448,51,68,28,83,61,55,0,1
1531,395,19,0,448,51,68,28,83,61,55,0,1
1649,419,22,0,472,54,71,31,89,64,64,0,1
1548,395,19,0,448,51,68,28,83,61,55,0,1
1490,379,17,0,432,49,66,26,79,59,49,0,1
1693,435,24,0,488,56,73,33,93,66,70,0,1
1606,411,21,0,464,53,70,30,87,63,61,0,1
1461,371,16,0,424,48,65,25,77,58,46,0,1
1693,435,24,0,488,56,73,33,93,66,70,0,1
1548,395,19,0,448,51,68,28,83,61,55,0,1
1461,371,16,0,424,48,65,25,77,58,46,0,1
1768,451,26,0,504,58,75,35,97,68,76,0,1
1693,435,24,0,488,56,73,33,93,66,70,0,1
1574,395,19,0,448,51,68,28,83,61,55,0,1
1632,419,22,0,472,54,71,31,89,64,64,0,1
1647,427,23,0,480,55,72,32,91,65,67,0,1
1676,435,24,0,488,56,73,33,93,66,70,0,1
1444,371,16,0,424,48,65,25,77,58,46,0,1
1734,451,26,0,504,58,75,35,97,68,76,0,1
1531,395,19,0,448,51,68,28,83,61,55,0,1
1560,403,20,0,456,52,69,29,85,62,58,0,1
1647,427,23,0,480,55,72,32,91,65,67,0,1
1710,435,24,0,488,56,73,33,93,66,70,0,1
1635,419,22,0,472,54,71,31,89,64,64,0,1
1516,387,18,0,440,50,67,27,81,60,52,0,1
1533,387,18,0,440,50,67,27,81,60,52,0,1
1519,387,18,0,440,50,67,27,81,60,52,0,1
1632,419,22,0,472,54,71,31,89,64,64,0,1
1574,403,20,0,456,52,69,29,85,62,58,0,1
1649,419,22,0,472,54,71,31,89,64,64,0,1
1632,419,22,0,472,54,71,31,89,64,64,0,1
1707,435,24,0,488,56,73,33,93,66,70,0,1
1751,451,26,0,504,58,75,35,97,68,76,0,1
1560,403,20,0,456,52,69,29,85,62,58,0,1
1536,387,18,0,440,50,67,27,81,60,52,0,1
1647,427,23,0,480,55,72,32,91,65,67,0,1
1589,411,21,0,464,53,70,30,87,63,61,0,1
1444,371,16,0,424,48,65,25,77,58,46,0,1
1444,371,16,0,424,48,65,25,77,58,46,0,1
1560,403,20,0,456,52,69,29,85,62,58,0,1
1618,419,22,0,472,54,71,31,89,64,64,0,1
1444,371,16,0,424,48,65,25,77,58,46,0,1
1734,451,26,0,504,58,75,35,97,68,76,0,1
1502,387,18,0,440,50,67,27,81,60,52,0,1
1519,387,18,0,440,50,67,27,81,60,52,0,1
1719,443,25,0,496,57,74,34,95,67,73,0,1
1562,395,19,0,448,51,68,28,83,61,55,0,1
1748,451,26,0,504,58,75,35,97,68,76,0,1
1560,403,20,0,456,52,69,29,85,62,58,0,1
1647,427,23,0,480,55,72,32,91,65,67,0,1
1560,403,20,0,456,52,69,29,85,62,58,0,1
1473,379,17,0,432,49,66,26,79,59,49,0,1
1685,427,23,0,480,55,72,32,91,65,67,0,1
1603,411,21,0,464,53,70,30,87,63,61,0,1
1647,427,23,0,480,55,72,32,91,65,67,0,1
1705,443,25,0,496,57,74,34,95,67,73,0,1
1676,435,24,0,488,56,73,33,93,66,70,0,1
1734,451,26,0,504,58,75,35,97,68,76,0,1
1502,387,18,0,440,50,67,27,81,60,52,0,1
1649,419,22,0,472,54,71,31,89,64,64,0,1
1661,427,23,0,480,55,72,32,91,65,67,0,1
1765,451,26,0,504,58,75,35,97,68,76,0,1
1531,395,19,0,448,51,68,28,83,61,55,0,1
1577,403,20,0,456,52,69,29,85,62,58,0,1
1461,371,16,0,424,48,65,25,77,58,46,0,1
1736,443,25,0,496,57,74,34,95,67,73,0,1
1502,387,18,0,440,50,67,27,81,60,52,0,1
1647,427,23,0,480,55,72,32,91,65,67,0,1
1752,451,26,0,504,58,75,35,97,68,76,0,1
1722,443,25,0,496,57,74,34,95,67,73,0,1
1577,403,20,0,456,52,69,29,85,62,58,0,1
1751,451,26,0,504,58,75,35,97,68,76,0,1
1751,451,26,0,504,58,75,35,97,68,76,0,1
1722,443,25,0,496,57,74,34,95,67,73,0,1
1548,395,19,0,448,51,68,28,83,61,55,0,1
1693,435,24,0,488,56,73,33,93,66,70,0,1
1632,419,22,0,472,54,71,31,89,64,64,0,1
1719,443,25,0,496,57,74,34,95,67,73,0,1
1502,387,18,0,440,50,67,27,81,60,52,0,1
1765,451,26,0,504,58,75,35,97,68,76,0,1
1722,443,25,0,496,57,74,34,95,67,73,0,1
1618,419,22,0,472,54,71,31,89,64,64,0,1
1502,387,18,0,440,50,67,27,81,60,52,0,1
1618,419,22,0,472,54,71,31,89,64,64,0,1
1589,411,21,0,464,53,70,30,87,63,61,0,1
1444,371,16,0,424,48,65,25,77,58,46,0,1
1705,443,25,0,496,57,74,34,95,67,73,0,1
1531,395,19,0,448,51,68,28,83,61,55,0,1
1531,395,19,0,448,51,68,28,83,61,55,0,1
1618,419,22,0,472,54,71,31,89,64,64,0,1
1647,427,23,0,480,55,72,32,91,65,67,0,1
1502,387,18,0,440,50,67,27,81,60,52,0,1
1751,451,26,0,504,58,75,35,97,68,76,0,1
1577,403,20,0,456,52,69,29,85,62,58,0,1
1458,371,16,0,424,48,65,25,77,58,46,0,1
1748,451,26,0,504,58,75,35,97,68,76,0,1
1722,443,25,0,496,57,74,34,95,67,73,0,1
1734,451,26,0,504,58,75,35,97,68,76,0,1
1560,403,20,0,456,52,69,29,85,62,58,0,1
1668,427,23,0,480,55,72,32,91,65,67,0,1
1589,411,21,0,464,53,70,30,87,63,61,0,1
1502,387,18,0,440,50,67,27,81,60,52,0,1
1548,395,19,0,448,51,68,28,83,61,55,0,1
1620,411,21,0,464,53,70,30,87,63,61,0,1
1690,435,24,0,488,56,73,33,93,66,70,0,1
1497,379,17,0,432,49,66,26,79,59,49,0,1
1519,387,18,0,440,50,67,27,81,60,52,0,1
1562,395,19,0,448,51,68,28,83,61,55,0,1
1736,443,25,0,513,57,74,34,95,67,73,0,1
1779,443,25,0,539,57,74,34,95,67,73,0,1
1767,443,25,0,541,57,74,34,95,67,73,0,1
1819,451,26,0,541,58,75,35,97,68,76,0,1
1492,371,16,0,441,48,65,25,77,58,46,0,1
1681,427,23,0,480,55,72,32,91,65,67,0,1
1461,371,16,0,424,48,65,25,77,58,46,0,1
1739,443,25,0,496,57,74,34,95,67,73,0,1
1693,435,24,0,488,56,73,33,93,66,70,0,1
1516,387,18,0,440,50,67,27,81,60,52,0,1
1693,435,24,0,488,56,73,33,93,66,70,0,1
1603,411,21,0,464,53,70,30,87,63,61,0,1
1751,451,26,0,504,58,75,35,97,68,76,0,1
1487,379,17,0,432,49,66,26,79,59,49,0,1
1661,427,23,0,480,55,72,32,91,65,67,0,1
1603,411,21,0,464,53,70,30,87,63,61,0,1
1548,395,19,0,448,51,68,28,83,61,55,0,1
1622,411,21,0,464,53,70,30,87,63,61,0,1
1591,403,20,0,456,52,69,29,85,62,58,0,1
1490,379,17,0,432,49,66,26,79,59,49,0,1
1693,435,24,0,488,56,73,33,93,66,70,0,1
1710,435,24,0,488,56,73,33,93,66,70,0,1
1490,379,17,0,432,49,66,26,79,59,49,0,1
1473,379,17,0,432,49,66,26,79,59,49,0,1
1589,411,21,0,464,53,70,30,87,63,61,0,1
1647,427,23,0,480,55,72,32,91,65,67,0,1
1734,451,26,0,504,58,75,35,97,68,76,0,1
1531,395,19,0,448,51,68,28,83,61,55,0,1
1654,419,22,0,491,54,71,31,89,64,64,0,1
1784,451,26,0,537,58,75,35,97,68,76,0,1
1800,443,25,0,557,57,74,34,95,67,73,0,1
1554,379,17,0,496,49,66,26,79,59,49,0,1
1510,371,16,0,476,48,65,25,77,58,46,0,1
1503,371,16,0,469,48,65,25,77,58,46,0,1
1619,403,20,0,501,52,69,29,85,62,58,0,1
1619,403,20,0,501,52,69,29,85,62,58,0,1
1537,379,17,0,465,49,66,26,79,59,49,0,1
1635,419,22,0,472,54,71,31,89,64,64,0,1
1594,403,20,0,473,52,69,29,85,62,58,0,1
1754,435,24,0,535,56,73,33,93,66,70,0,1
1582,387,18,0,492,50,67,27,81,60,52,0,1
1561,387,18,0,471,50,67,27,81,60,52,0,1
1561,387,18,0,485,50,67,27,81,60,52,0,1
1591,403,20,0,487,52,69,29,85,62,58,0,1
1653,411,21,0,497,53,70,30,87,63,61,0,1
1751,451,26,0,521,58,75,35,97,68,76,0,1
1712,435,24,0,507,56,73,33,93,66,70,0,1
1722,443,25,0,496,57,74,34,95,67,73,0,1
1519,387,18,0,440,50,67,27,81,60,52,0,1
1519,387,18,0,440,50,67,27,81,60,52,0,1
